105/06/01,110000,400000,-290000
105/06/02,229000,623000,-394000
105/06/03,84000,110000,-26000
105/06/04,70000,155000,-85000
105/06/06,80000,320000,-240000
105/06/07,60000,0,60000
105/06/08,449000,63000,386000
105/06/09,449000,63000,386000
105/06/10,449000,63000,386000
105/06/13,673000,140000,533000
105/06/14,0,88000,-88000
105/06/15,40000,117000,-77000
105/06/16,260000,452000,-192000
105/06/17,119000,108000,11000
105/06/20,308000,200000,108000
105/06/21,0,10000,-10000
105/06/22,200000,1428000,-1228000
105/06/23,1231000,0,1231000
105/06/24,317000,297000,20000
105/06/27,372000,301000,71000
105/06/28,238000,534000,-296000
105/06/29,452000,555000,-103000
105/06/30,609000,471000,138000
105/07/01,269000,124000,145000
105/07/04,200000,242000,-42000
105/07/05,100000,351000,-251000
105/07/06,391000,575000,-184000
105/07/07,194000,328000,-134000
105/07/08,194000,328000,-134000
105/07/11,256000,129000,127000
105/07/12,348000,213000,135000
